key,lastUpdateMoment,step,resolutionPercentage,status,resolution,key:claim,key:assistanceAgent
#base entity
tracking-log-00,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
#lastUpdateMoment-standard variation
tracking-log-01,2000/01/01 0:00,Lorem ipsum dolor sit ame,51.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-02,2000/01/01 0:01,Lorem ipsum dolor sit ame,52.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-03,2024/12/31 23:59,Lorem ipsum dolor sit ame,53.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-04,2025/01/01 0:00,Lorem ipsum dolor sit ame,54.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
#step-standard variation
tracking-log-05,2012/07/02 0:00,L,55.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-06,2012/07/02 0:00,Lo,56.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-07,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",57.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-08,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",58.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-09,2012/07/02 0:00,โลเร็ม อิปซัม,59.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-10,2012/07/02 0:00,لوريم إيبسوم,60.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-11,2012/07/02 0:00,洛伦·伊普森,61.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-12,2012/07/02 0:00,<marquee>Hacked</marquee>,62.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-13,2012/07/02 0:00,<script>alert(‘Hacked!’);</script>,63.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
tracking-log-14,2012/07/02 0:00,' or 'A' = 'A,64.00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",claim-00,assistance-agent-00
#resolutionPercentage-standard variation
